Codigo Cliente,Mensualidad,antiguedad_meses,ti_cod,megas_cod,municipio_cod,metodo_pago_cod,n_meses_activos,n_pagos_ok,n_moras_historicas,tasa_mora_historica,es_moroso,moras_ult_3_meses,moras_ult_6_meses,racha_limpia_final,dia_prom_pago_ult12,objetivo_mora_ultimo_mes
626,100.0,29.1721,0,0,4,0,29,29,0,0.0,0,0,0,29,18.8182,0
627,100.0,19.7766,0,0,4,0,17,17,0,0.0,0,0,0,9,25.3333,0
628,100.0,4.1393,0,0,4,0,4,4,0,0.0,0,0,0,4,25.0,0
629,80.0,68.1669,1,0,3,1,68,68,0,0.0,0,0,0,68,19.9091,0
630,100.0,21.1564,0,0,4,0,21,21,0,0.0,0,0,0,21,19.5455,0
631,100.0,58.5742,0,0,4,0,57,56,1,0.0175,1,1,1,0,18.9091,0
632,100.0,41.1629,0,0,4,0,41,41,0,0.0,0,0,0,41,5.6364,0
633,100.0,18.5283,0,0,3,0,14,13,1,0.0714,1,1,1,0,20.6364,0
634,100.0,50.1314,0,0,4,1,50,50,0,0.0,0,0,0,50,10.2727,0
635,100.0,46.1892,0,0,4,0,45,44,1,0.0222,1,1,1,0,19.4,0
636,100.0,45.1708,0,0,4,1,45,45,0,0.0,0,0,0,45,13.2727,0
637,100.0,47.4704,0,0,4,0,47,45,2,0.0426,1,2,2,0,16.8182,0
638,100.0,5.1577,0,0,4,1,5,5,0,0.0,0,0,0,5,24.4,0
639,80.0,26.1498,0,0,4,0,26,26,0,0.0,0,0,0,26,20.0,0
640,100.0,75.4928,0,0,4,0,75,75,0,0.0,0,0,0,75,15.7273,0
641,150.0,23.1603,0,2,3,0,23,23,0,0.0,0,0,0,23,11.8182,0
642,100.0,1.117,0,0,4,2,1,1,0,0.0,0,0,0,1,25.0,0
643,100.0,4.1393,0,0,3,1,4,4,0,0.0,0,0,0,4,25.0,0
644,100.0,14.1261,0,0,3,0,14,14,0,0.0,0,0,0,14,10.8182,0
645,100.0,31.1761,0,0,4,0,31,30,1,0.0323,1,1,1,0,21.9091,0
646,100.0,70.138,0,0,4,0,70,69,1,0.0143,1,1,1,0,17.4545,0
647,100.0,74.113,0,0,4,1,74,74,0,0.0,0,0,0,74,5.0909,0
648,100.0,72.1419,0,0,4,1,73,73,0,0.0,0,0,0,73,14.0,0
649,100.0,2.1025,0,0,4,2,2,2,0,0.0,0,0,0,2,14.5,0
650,100.0,50.0986,0,0,2,0,51,51,0,0.0,0,0,0,51,7.4167,0
651,100.0,23.1275,0,0,4,0,23,23,0,0.0,0,0,0,23,19.9,0
652,100.0,62.0894,0,0,4,1,62,62,0,0.0,0,0,0,62,21.6,0
653,100.0,47.8975,0,0,4,0,45,43,2,0.0444,1,2,2,0,18.1818,0
654,100.0,13.0749,0,0,4,1,13,13,0,0.0,0,0,0,13,27.3636,0
655,100.0,12.1551,0,0,4,1,12,12,0,0.0,0,0,0,12,25.3,0
656,100.0,24.4087,0,0,4,1,24,24,0,0.0,0,0,0,24,23.7273,0
657,100.0,9.1327,0,0,4,0,9,8,1,0.1111,1,1,1,0,25.2222,0
658,100.0,70.138,0,0,4,0,70,69,1,0.0143,1,1,1,0,16.2727,0
659,100.0,61.071,0,0,4,0,61,61,0,0.0,0,0,0,61,19.0909,0
660,100.0,51.544,0,0,4,0,51,48,3,0.0588,1,2,3,0,22.1818,0
661,100.0,25.0986,0,0,3,0,25,24,1,0.04,1,1,1,0,19.3333,0
662,100.0,34.1656,0,0,4,1,34,33,1,0.0294,1,1,1,0,27.9091,0
663,100.0,60.1511,0,0,4,0,60,59,1,0.0167,1,1,1,0,24.6364,0
664,100.0,14.0933,0,0,4,0,14,13,1,0.0714,1,1,1,0,18.3636,0
665,100.0,67.1156,0,0,4,0,67,67,0,0.0,0,0,0,67,19.3636,0
666,70.0,15.8344,0,0,4,0,15,15,0,0.0,0,0,0,15,19.3636,0
667,50.0,36.1367,0,0,4,0,36,36,0,0.0,0,0,0,36,19.3636,0
668,50.0,3.4494,0,0,4,0,3,3,0,0.0,0,0,0,3,21.0,0
669,100.0,1.0841,0,0,4,0,1,1,0,0.0,0,0,0,1,26.0,0
670,100.0,38.1078,0,0,0,1,38,38,0,0.0,0,0,0,38,21.8182,0
671,100.0,6.1104,0,0,4,1,27,27,0,0.0,0,0,0,5,13.8,0
672,100.0,59.1327,0,0,4,1,59,59,0,0.0,0,0,0,59,25.1818,0
673,100.0,68.134,0,0,4,0,78,78,0,0.0,0,0,0,78,8.0,0
674,100.0,66.9185,1,0,3,0,67,65,2,0.0299,1,2,2,0,22.9167,1
675,100.0,38.1078,1,0,3,0,39,37,2,0.0513,1,2,2,0,22.9167,1
676,100.0,78.088,0,0,4,1,77,77,0,0.0,0,0,0,77,24.3636,0
677,100.0,13.042,0,0,4,1,13,13,0,0.0,0,0,0,13,19.1818,0
678,100.0,2.0696,0,0,4,2,2,2,0,0.0,0,0,0,2,26.0,0
679,100.0,19.0867,0,0,4,1,19,19,0,0.0,0,0,0,19,25.6364,0
680,100.0,44.1196,0,0,4,0,44,44,0,0.0,0,0,0,44,9.6364,0
681,100.0,13.042,0,0,4,1,13,12,1,0.0769,1,1,1,0,19.4545,0
682,100.0,30.092,1,0,4,1,30,30,0,0.0,0,0,0,30,21.0,0
683,100.0,37.0565,0,0,4,0,37,37,0,0.0,0,0,0,37,22.0,0
684,100.0,70.1051,1,0,0,0,70,70,0,0.0,0,0,0,70,21.1818,0
685,100.0,51.0841,2,0,4,0,51,50,1,0.0196,1,1,1,0,19.1818,0
686,100.0,59.0999,0,0,4,1,59,58,1,0.0169,1,1,1,0,24.7273,0
687,100.0,2.0696,0,0,4,1,2,1,1,0.5,1,1,1,0,14.5,0
688,80.0,36.1367,0,0,4,0,36,36,0,0.0,0,0,0,36,7.0,0
689,100.0,9.0999,0,0,4,0,9,8,1,0.1111,1,1,1,0,16.5556,0
690,100.0,2.0696,0,0,4,0,1,1,0,0.0,0,0,0,0,26.0,0
691,100.0,67.0828,0,0,4,0,67,67,0,0.0,0,0,0,67,21.0909,0
692,100.0,14.0604,0,0,4,0,14,14,0,0.0,0,0,0,14,25.0,0
693,100.0,2.0696,0,0,5,0,2,1,1,0.5,1,1,1,0,27.0,0
694,100.0,2.0696,0,0,4,0,2,2,0,0.0,0,0,0,2,27.5,0
695,100.0,30.2891,0,0,4,0,79,79,0,0.0,0,0,0,0,16.0,0
696,100.0,4.0407,0,0,4,0,4,4,0,0.0,0,0,0,4,27.0,0
697,180.0,48.0946,0,2,4,0,48,48,0,0.0,0,0,0,48,27.0,0
698,180.0,48.0946,0,2,4,0,48,48,0,0.0,0,0,0,48,18.9091,0
699,100.0,51.0512,0,0,4,0,51,49,2,0.0392,1,2,2,0,16.8182,0
700,80.0,48.0946,0,0,4,1,48,48,0,0.0,0,0,0,48,18.0909,0
701,100.0,30.0591,0,0,4,0,30,30,0,0.0,0,0,0,30,6.5,0
702,100.0,1.0184,0,0,4,2,1,1,0,0.0,0,0,0,1,28.0,0
703,100.0,4.0407,0,0,4,1,4,4,0,0.0,0,0,0,4,10.75,0
704,100.0,71.0578,0,0,4,0,70,70,0,0.0,0,0,0,64,6.4545,0
705,100.0,69.0539,0,0,4,1,69,69,0,0.0,0,0,0,69,23.3636,0
706,100.0,40.0131,0,0,4,0,40,40,0,0.0,0,0,0,40,16.8182,0
707,100.0,32.0959,0,0,4,0,32,32,0,0.0,0,0,0,32,25.9091,0
708,80.0,78.0552,0,0,5,0,77,76,1,0.013,1,1,1,0,22.0909,0
709,100.0,71.0578,0,0,4,2,71,70,1,0.0141,1,1,1,0,9.8182,0
710,100.0,62.0237,0,0,4,1,59,59,0,0.0,0,0,0,13,8.8182,0
711,100.0,79.0736,0,0,4,0,78,78,0,0.0,0,0,0,78,17.9091,0
712,100.0,8.0815,0,0,4,0,8,8,0,0.0,0,0,0,8,26.5,0
713,80.0,11.1695,0,0,4,1,11,11,0,0.0,0,0,0,11,17.9091,0
714,100.0,14.0276,0,0,4,1,14,14,0,0.0,0,0,0,14,17.0909,0
715,100.0,73.0289,0,0,3,0,73,73,0,0.0,0,0,0,73,15.1818,0
716,180.0,68.7911,2,2,4,0,67,67,0,0.0,0,0,0,67,26.9091,0
717,80.0,59.067,0,0,4,0,59,59,0,0.0,0,0,0,59,25.6364,0
718,100.0,56.0775,0,0,4,0,56,55,1,0.0179,1,1,1,0,10.8182,0
719,100.0,72.0434,0,0,4,1,72,72,0,0.0,0,0,0,72,22.4545,0
720,100.0,11.0381,0,0,4,0,11,11,0,0.0,0,0,0,11,26.8182,0
721,80.0,11.0381,0,0,3,2,70,70,0,0.0,0,0,0,70,21.7273,0
722,100.0,70.0394,0,0,4,0,70,69,1,0.0143,1,1,1,0,19.7273,0
723,120.0,12.0565,0,2,4,0,11,11,0,0.0,0,0,0,11,23.2222,0
724,100.0,17.0171,0,0,4,0,17,16,1,0.0588,1,1,1,0,16.5455,0
725,100.0,57.0302,0,0,4,0,57,55,2,0.0351,1,2,2,0,16.9,0
726,150.0,65.0131,0,2,3,0,64,63,1,0.0156,1,1,1,0,14.9091,0
727,50.0,60.6439,0,0,4,0,59,58,1,0.0169,1,1,1,0,14.9091,0
728,100.0,71.025,0,0,4,0,71,71,0,0.0,0,0,0,71,11.2222,0
729,100.0,45.0394,0,0,3,0,45,44,1,0.0222,1,1,1,0,14.2,0
730,100.0,61.9908,0,0,4,1,62,62,0,0.0,0,0,0,62,11.5455,0
731,100.0,33.0486,0,0,4,0,33,33,0,0.0,0,0,0,33,4.4545,0
732,100.0,72.0434,0,0,4,0,72,72,0,0.0,0,0,0,72,3.0,0
733,100.0,26.4126,0,0,4,1,4,4,0,0.0,0,0,0,4,22.25,0
734,100.0,23.0289,0,0,4,0,23,22,1,0.0435,1,1,1,0,15.3636,0
735,100.0,39.0276,0,0,0,1,39,39,0,0.0,0,0,0,39,11.0909,0
736,100.0,11.0381,0,0,4,0,10,10,0,0.0,0,0,0,10,11.3,0
737,120.0,11.0381,0,1,4,0,11,11,0,0.0,0,0,0,11,10.0,0
738,80.0,80.0591,0,0,4,0,79,79,0,0.0,0,0,0,79,4.7273,0
739,100.0,61.9908,0,0,4,0,62,62,0,0.0,0,0,0,62,9.1818,0
740,100.0,26.4126,0,0,4,0,8,8,0,0.0,0,0,0,8,19.5,0
741,100.0,15.9987,0,0,4,0,16,15,1,0.0625,1,1,1,0,15.8182,0
742,100.0,72.0434,0,0,4,0,72,71,1,0.0139,1,1,1,0,20.2727,0
743,100.0,17.0171,0,0,4,1,17,17,0,0.0,0,0,0,17,22.2727,0
744,100.0,52.0039,0,0,4,1,52,51,1,0.0192,1,1,1,0,18.5455,0
745,100.0,26.4126,0,0,4,0,8,8,0,0.0,0,0,0,8,8.7143,0
746,100.0,65.0131,0,0,4,0,65,65,0,0.0,0,0,0,65,23.7,0
747,100.0,74.0145,0,0,4,0,74,74,0,0.0,0,0,0,74,14.7273,0
748,100.0,4.9934,0,0,4,1,5,5,0,0.0,0,0,0,5,28.0,0
749,70.0,1.9382,0,0,4,2,2,1,1,0.5,1,1,1,0,30.5,0
750,100.0,65.9658,0,0,4,1,66,66,0,0.0,0,0,0,66,5.1818,0
751,80.0,1.9382,0,0,4,0,2,2,0,0.0,0,0,0,2,5.0,0
752,80.0,1.9382,0,0,4,0,2,2,0,0.0,0,0,0,2,5.0,0
753,100.0,14.9803,0,0,4,0,15,14,1,0.0667,1,1,1,0,10.2727,0
754,100.0,4.5664,0,0,4,1,4,4,0,0.0,0,0,0,4,16.0,0
755,100.0,65.9658,0,0,4,0,66,64,2,0.0303,1,2,2,0,22.1818,0
756,100.0,5.979,2,0,4,1,6,5,1,0.1667,1,1,1,0,14.8333,0
757,100.0,39.9803,0,0,4,0,39,39,0,0.0,0,0,0,39,6.5455,0
758,100.0,43.3311,0,0,4,0,43,43,0,0.0,0,0,0,43,24.8182,0
759,100.0,1.9382,0,0,4,2,2,1,1,0.5,1,1,1,0,30.5,0
760,100.0,1.9711,0,0,4,2,2,2,0,0.0,0,0,0,2,28.5,0
761,100.0,29.0079,0,0,3,0,29,29,0,0.0,0,0,0,29,24.4545,0
762,100.0,26.4126,0,0,4,0,8,7,1,0.125,1,1,1,0,22.1429,0
763,100.0,65.9658,0,0,4,1,66,65,1,0.0152,1,1,1,0,11.8182,0
764,100.0,22.0105,0,0,4,1,22,21,1,0.0455,1,1,1,0,26.0,0
765,80.0,20.9921,0,0,4,1,21,20,1,0.0476,1,1,1,0,26.0,0
766,100.0,13.9619,0,0,4,1,14,14,0,0.0,0,0,0,14,17.5455,0
767,100.0,19.2181,0,0,3,0,19,18,1,0.0526,1,1,1,0,9.7273,0
768,100.0,10.0197,0,0,4,0,10,9,1,0.1,1,1,1,0,18.4,0
769,100.0,1.9711,0,0,4,2,2,2,0,0.0,0,0,0,2,16.5,0
770,100.0,29.9934,0,0,4,1,29,29,0,0.0,0,0,0,0,9.3,0
771,100.0,15.9658,0,0,4,0,16,15,1,0.0625,1,1,1,0,22.0,0
772,100.0,70.0066,0,0,4,0,71,71,0,0.0,0,0,0,71,26.9167,0
773,100.0,1.9711,0,0,4,0,2,2,0,0.0,0,0,0,2,17.0,0
774,100.0,41.6557,0,0,4,0,41,39,2,0.0488,1,1,1,0,9.8182,0
775,100.0,65.9658,0,0,4,0,65,65,0,0.0,0,0,0,10,8.3,0
776,100.0,73.4888,0,0,4,0,73,72,1,0.0137,1,1,1,0,24.1818,0
777,100.0,37.9763,0,0,4,1,38,38,0,0.0,0,0,0,38,2.9091,0
778,100.0,65.9658,0,0,4,0,66,66,0,0.0,0,0,0,66,7.8182,0
779,100.0,49.9343,0,0,4,0,50,50,0,0.0,0,0,0,50,25.6364,0
780,100.0,23.1932,0,0,4,1,23,23,0,0.0,0,0,0,23,14.7273,0
781,100.0,6.9974,0,0,4,0,7,6,1,0.1429,1,1,1,0,15.5714,0
